Gene	Direction_in_ABCs
Pdp2	up
Pycr1	up
Ighv1-85	up
Sbf2	up
Gpm6b	up
Tmem176a	up
Cttnbp2nl	up
Igkv13-84	up
Selenbp1	up
C5ar2	up
Cdk1	up
Igkv5-39	up
Uck2_2	up
Asns	up
Plcl1	up
Aoah	up
Rgs3	up
Iqgap3	up
Golim4	up
Apoc2	up
Ighv7-1	up
Gm6377	up
Cnnm2	up
Cdc20	up
Thoc2	up
Sp3	up
Apaf1	up
Anxa3	up
Chst7	up
Gpc1	up
Ighv5-9	up
Tmem176b	up
Sgol1	up
Ube2c	up
Cd300lb	up
Ube3a	up
Vps26b	up
Ramp3	up
Ogfrl1	up
Tlr2	up
Mfsd7b	up
Rnf103	up
Tmem38b	up
Sh3pxd2b	up
Ighv2-9-1	up
Kntc1	up
Ccnf	up
Hcar2	up
Siglech	up
Ighv6-6	up
Gtf2ird1	up
Uba6	up
Cks1b	up
Daam1	up
Trf	up
Igha	up
Ada	up
Lims1	up
Dhrs3	up
Iglv1	up
Dhfr	up
2810417H13Rik	up
Ighv1-26	up
Pbk	up
Mettl7a1	up
Il1rap	up
Cd300e	up
Rxra	up
Mt1	up
Thyn1	up
Mnda	up
Shcbp1	up
Ust	up
Mpzl1	up
Ighv1-59	up
Zfx	up
Pvrl4	up
Ccpg1	up
Lpin2	up
Plk4	up
RP24-439I22.1	up
Dmxl2	up
Def8	up
Wee1	up
Ntng2	up
Etv5	up
Trim23	up
Thbd	up
Mtfr2	up
Ighv1-55	up
Brwd3	up
Tnip3	up
Tlr13	up
Cenpi	up
Igkv5-48	up
Igkv6-32	up
Cpox	up
Sp4	up
Skp2	up
Ighv9-4	up
Plxnd1	up
Gsap	up
Atrnl1	up
Cst7	up
D15Ertd621e	up
Plk1	up
Igkv1-132	up
Igkv6-15	up
Ifitm3	up
Sh3bgrl2	up
Kctd21	up
Fbxw8	up
Ighv5-17	up
Bcl2a1a	up
Ighv1-15	up
Megf9	up
Mtmr10	up
Cdc6	up
Cdca7l	up
Ighv1-4	up
Igkv10-94	up
Nek2	up
Klf10	up
Ccr1	up
Dgat2	up
Camk2a	up
Zwilch	up
Ighv2-9	up
Stx3	up
Zfp935	up
Fndc3a	up
Kif14	up
Rad51ap1	up
Ighv1-52	up
Cpeb4	up
Alox5ap	up
Tmco1	up
Igkv14-130	up
Pds5a	up
Tmem55a	up
Rgs1	up
Myo3b	up
Igkv3-12	up
Igkv4-68	up
Hmmr	up
Gbp2	up
Kif22	up
Ighv1-22	up
Zbtb41	up
Dock5	up
Eml6	up
Casc5	up
Bcl2l14	up
Pop7	down
Nt5c	down
Tmsb4x	down
Utp3	down
Tnni2	down
Ear2	down
Rplp1	down
B3galt6	down
C1qa	down
Actg1	down
C1qc	down
Psmb10	down
Atp6v0b	down
Psmb4	down
Psma7	down
Magee1	down
Psmb6	down
Bloc1s4	down
Itpripl1	down
Rplp0	down
B4galt3	down
Rnase6	down
Grina	down
Elovl1	down
G6pc3	down
C1qb	down
B3galt4	down
