Gene	Direction_in_ABCs
Pon2	up
Pon3	up
Pop1	down
Pop4	down
Pop7	down
Pou2af1	down
Pou2f2	down
Ppan	down
Ppap2a	up
Ppap2b	up
Ppapdc1b	up
Pparg	up
Ppcdc	down
Ppcs	down
Ppdpf	down
Ppie	down
Ppm1a	down
Ppm1b	down
Ppm1g	down
Ppox	down
Ppp1ca	down
Ppp1cb	down
Ppp1cc	down
Ppp2ca	down
Ppp2cb	down
Ppp2r1a	down
Ppp2r1b	down
Ppp2r2a	down
Ppp2r2d	down
Ppp2r3c	down
Ppp2r3d	down
Ppp2r5a	down
Ppp2r5b	down
Ppp2r5c	down
Ppp2r5d	down
Ppp2r5e	down
Ppp3ca	down
Ppp3cb	down
Ppp3cc	down
Pprc1	down
Ppt1	up
Ppt2	up
Pqbp1	down
Pqlc2	down
Pqlc3	up
Prc1	up
Prcc	down
Prdm15	down
Prdx4	up
Prex1	down
Prf1	up
Prickle3	down
Prkaa1	down
Prkab1	down
Prkab2	down
Prkag1	down
Prkag2	down
Prkar1b	down
Prkar2a	down
Prkar2b	down
Prkd2	down
Prkdc	down
Prkrip1	down
Prkrir	down
Prmt7	down
Prpf3	down
Prr11	up
Prr12	down
Prr14	down
Prr24	down
Prr3	down
Prr5l	up
Prrc2a	down
Psap	up
Psma1	down
Psma2	down
Psma3	down
Psma4	down
Psma5	down
Psma6	down
Psma7	down
Psmb1	down
Psmb10	down
Psmb2	down
Psmb3	down
Psmb4	down
Psmb5	down
Psmb6	down
Psmb7	down
Psmb8	down
Psmb9	down
Psmc1	down
Psmc2	down
Psmc3	down
Psmc5	down
Psmd10	down
Psme3	down
Pstpip1	down
Pstpip2	up
Ptafr	up
Ptbp2	down
Ptch1	up
Ptgis	up
Ptgr1	up
Ptgs1	up
Ptk2	up
Ptk2b	down
Ptp4a3	down
Ptplad2	up
Ptpra	down
Ptprc	down
Ptprcap	down
Ptpre	down
Ptprj	down
Ptprm	down
Ptprs	down
Puf60	down
Pus1	down
Pvrl4	up
Pxdc1	down
Pxk	down
Pycr1	up
Pydc3	down
Pygl	up
Qk_1	up
Qtrt1	down
Rab1	up
Rab10os	down
Rab11fip4	up
Rab11fip5	up
Rab3il1	up
Rab3ip	down
Rabac1	down
Rabgef1	down
Racgap1	up
Rad51	up
Rad51ap1	up
Rad54l	up
Rad9a	down
Rai1	down
Ralb	up
Ralgps2	down
Raly	down
Ramp3	up
Ranbp10	down
Ranbp3	down
Rap1gap2	up
Rapgef4	down
Rasal3	down
Rassf1	down
Rassf4	up
Rassf7	down
Rb1	up
Rbfa	down
Rbl2	up
Rbm10	down
Rbm33	down
Rbm38	down
Rbm47	up
Rbm5	down
Rcbtb2	up
Rce1	down
Rcn1	up
Rcsd1	down
Reep3	up
Rela	down
