"","Cluster","group","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"42","AM14 MRLlpr","AM14 MRLlpr","GO:0033130","acetylcholine receptor binding","3/267","24/28409",0.125,13.3000936329588,5.87175694346663,0.00143555074621368,0.0184570810227473,0.0147152946165763,"100041546/57248/17067",3
"43","AM14 MRLlpr","AM14 MRLlpr","GO:0008201","heparin binding","7/267","179/28409",0.0391061452513966,4.1609231477413,4.13222056036717,0.00157797329290178,0.0190179053840613,0.0151624235908013,"11816/20307/16956/58859/14268/18782/56066",7
"44","AM14 MRLlpr","AM14 MRLlpr","GO:0000979","RNA polymerase II core promoter sequence-specific DNA binding","3/267","25/28409",0.12,12.7680898876404,5.73373561041767,0.00162004379197559,0.0190179053840613,0.0151624235908013,"19016/14281/13653",3
"45","AM14 MRLlpr","AM14 MRLlpr","GO:0005044","scavenger receptor activity","3/267","25/28409",0.12,12.7680898876404,5.73373561041767,0.00162004379197559,0.0190179053840613,0.0151624235908013,"12491/66102/59289",3
"46","AM14 MRLlpr","AM14 MRLlpr","GO:0043395","heparan sulfate proteoglycan binding","3/267","25/28409",0.12,12.7680898876404,5.73373561041767,0.00162004379197559,0.0190179053840613,0.0151624235908013,"11816/16956/18782",3
"47","AM14 MRLlpr","AM14 MRLlpr","GO:0048029","monosaccharide binding","5/267","91/28409",0.0549450549450549,5.84619500349837,4.51012702746406,0.00170156114549132,0.0195498514588365,0.0155865287459339,"56620/212032/17533/73149/269799",5
"48","AM14 MRLlpr","AM14 MRLlpr","GO:0030548","acetylcholine receptor regulator activity","3/267","26/28409",0.115384615384615,12.2770095073466,5.603378416441,0.00181871452375746,0.0204605383922715,0.0163125929872106,"100041546/57248/17067",3
"49","AM14 MRLlpr","AM14 MRLlpr","GO:0008138","protein tyrosine/serine/threonine phosphatase activity","3/267","27/28409",0.111111111111111,11.8223054515189,5.47997595138667,0.00203193925332173,0.0215146509175242,0.0171530062870709,"19252/13537/70686",3
"50","AM14 MRLlpr","AM14 MRLlpr","GO:0070412","R-SMAD binding","3/267","27/28409",0.111111111111111,11.8223054515189,5.47997595138667,0.00203193925332173,0.0215146509175242,0.0171530062870709,"19016/14281/16476",3
"51","AM14 MRLlpr","AM14 MRLlpr","GO:0099602","neurotransmitter receptor regulator activity","3/267","27/28409",0.111111111111111,11.8223054515189,5.47997595138667,0.00203193925332173,0.0215146509175242,0.0171530062870709,"100041546/57248/17067",3
"52","AM14 MRLlpr","AM14 MRLlpr","GO:0042578","phosphoric ester hydrolase activity","10/267","355/28409",0.028169014084507,2.99720419897663,3.68839760743294,0.00207383253313394,0.0215359532286986,0.0171699900010482,"16818/238871/19252/19271/16329/13537/269823/70686/58994/72828",10
"53","AM14 MRLlpr","AM14 MRLlpr","GO:0004725","protein tyrosine phosphatase activity","5/267","96/28409",0.0520833333333333,5.5417056803995,4.34170328255906,0.00215336377803727,0.0219399328328326,0.0174920712059036,"19252/19271/13537/70686/72828",5
"54","AM14 MRLlpr","AM14 MRLlpr","GO:0002020","protease binding","7/267","191/28409",0.0366492146596859,3.89950389238583,3.91629813788883,0.00227821225020537,0.0227241892134439,0.0181173360395683,"229595/14268/13010/20708/20723/15511/193740",7
"55","AM14 MRLlpr","AM14 MRLlpr","GO:0004879","nuclear receptor activity","4/267","59/28409",0.0677966101694915,7.21361010601155,4.65363110548376,0.00231450075322114,0.0227241892134439,0.0181173360395683,"19016/22259/20181/11622",4
"56","AM14 MRLlpr","AM14 MRLlpr","GO:0098531","ligand-activated transcription factor activity","4/267","60/28409",0.0666666666666667,7.09338327091136,4.60218137079646,0.00246175341742455,0.0237383365251653,0.0189258862354632,"19016/22259/20181/11622",4
"57","AM14 MRLlpr","AM14 MRLlpr","GO:0005539","glycosaminoglycan binding","8/267","250/28409",0.032,3.40482397003745,3.72000191539872,0.00263625993522732,0.0249750941232062,0.0199119171469617,"11816/20307/16956/14586/58859/14268/18782/56066",8
"58","AM14 MRLlpr","AM14 MRLlpr","GO:0001221","transcription coregulator binding","6/267","150/28409",0.04,4.25602996254682,3.89452152460256,0.00301969842234998,0.0273366753333883,0.0217947372541049,"19016/20181/11622/14281/59126/16478",6
"59","AM14 MRLlpr","AM14 MRLlpr","GO:0071813","lipoprotein particle binding","3/267","31/28409",0.0967741935483871,10.296846683581,5.04456944085426,0.00303740837037648,0.0273366753333883,0.0217947372541049,"12491/11816/16956",3
"60","AM14 MRLlpr","AM14 MRLlpr","GO:0071814","protein-lipid complex binding","3/267","31/28409",0.0967741935483871,10.296846683581,5.04456944085426,0.00303740837037648,0.0273366753333883,0.0217947372541049,"12491/11816/16956",3
"61","AM14 MRLlpr","AM14 MRLlpr","GO:0038024","cargo receptor activity","4/267","67/28409",0.0597014925373134,6.35228352618928,4.27228037992321,0.00367660474379184,0.0325469928138949,0.0259487720485049,"12491/66102/17533/59289",4
"62","AM14 MRLlpr","AM14 MRLlpr","GO:0019763","immunoglobulin receptor activity","2/267","10/28409",0.2,21.2801498127341,6.24767048653042,0.00376783236815239,0.0328166044968112,0.0261637256124674,"14127/246256",2
"63","AM14 MRLlpr","AM14 MRLlpr","GO:0042974","nuclear retinoic acid receptor binding","3/267","34/28409",0.0882352941176471,9.38830138797092,4.76698769055092,0.0039606941758589,0.0339488072216477,0.027066397960339,"19016/22259/20181",3
"64","AM14 MRLlpr","AM14 MRLlpr","GO:0030547","signaling receptor inhibitor activity","3/267","35/28409",0.0857142857142857,9.12006420545746,4.68200296275123,0.00430223647385539,0.0363001202481548,0.0289410315428759,"100041546/57248/17067",3
"65","AM14 MRLlpr","AM14 MRLlpr","GO:0005041","low-density lipoprotein particle receptor activity","2/267","11/28409",0.181818181818182,19.3455907388492,5.92765128730798,0.00457666263630151,0.0368865346806391,0.0294085627375855,"12491/66102",2
"66","AM14 MRLlpr","AM14 MRLlpr","GO:0042609","CD4 receptor binding","2/267","11/28409",0.181818181818182,19.3455907388492,5.92765128730798,0.00457666263630151,0.0368865346806391,0.0294085627375855,"16818/22038",2
"67","AM14 MRLlpr","AM14 MRLlpr","GO:1990405","protein antigen binding","2/267","11/28409",0.181818181818182,19.3455907388492,5.92765128730798,0.00457666263630151,0.0368865346806391,0.0294085627375855,"16818/19261",2
"68","AM14 MRLlpr","AM14 MRLlpr","GO:0008514","organic anion transmembrane transporter activity","8/267","278/28409",0.0287769784172662,3.0618920593862,3.36507090544765,0.00499098946986368,0.0396343281430351,0.0315992986559481,"20540/12491/20512/76408/50934/101488/66859/18671",8
"69","AM14 MRLlpr","AM14 MRLlpr","GO:0004721","phosphoprotein phosphatase activity","6/267","168/28409",0.0357142857142857,3.80002675227394,3.54548185567971,0.0052444653028234,0.0409355508326942,0.0326367257126158,"16818/19252/19271/13537/70686/72828",6
"70","AM14 MRLlpr","AM14 MRLlpr","GO:0035325","Toll-like receptor binding","2/267","12/28409",0.166666666666667,17.7334581772784,5.64727030832736,0.00545807344435922,0.0409355508326942,0.0326367257126158,"12491/20210",2
"71","AM14 MRLlpr","AM14 MRLlpr","GO:0071714","icosanoid transmembrane transporter activity","2/267","12/28409",0.166666666666667,17.7334581772784,5.64727030832736,0.00545807344435922,0.0409355508326942,0.0326367257126158,"76408/101488",2
"72","AM14 MRLlpr","AM14 MRLlpr","GO:0140776","protein-containing complex destabilizing activity","2/267","12/28409",0.166666666666667,17.7334581772784,5.64727030832736,0.00545807344435922,0.0409355508326942,0.0326367257126158,"15511/193740",2
"73","PL2-3 2DG vs PL2-3","PL2-3 2DG vs PL2-3","GO:0030246","carbohydrate binding","17/296","293/28409",0.0580204778156997,5.56859376441288,8.06588776115265,1.45973858078434e-08,7.8387961788119e-06,6.20773038565129e-06,"17159/18822/56620/16004/68038/14387/18484/17533/13805/14133/20612/26888/83382/140792/140481/12268/108148",17
"74","PL2-3 2DG vs PL2-3","PL2-3 2DG vs PL2-3","GO:0048029","monosaccharide binding","9/296","91/28409",0.0989010989010989,9.49216661716662,8.32569510975369,4.75779380640145e-07,0.000122189400270446,9.67647117695975e-05,"17159/18822/56620/16004/18484/17533/13805/26888/83382",9
"75","PL2-3 2DG vs PL2-3","PL2-3 2DG vs PL2-3","GO:0046978","TAP1 binding","5/296","18/28409",0.277777777777778,26.6600975975976,11.1742092675381,9.10163130506115e-07,0.000122189400270446,9.67647117695975e-05,"21355/21354/15039/110557/14964",5
"76","PL2-3 2DG vs PL2-3","PL2-3 2DG vs PL2-3","GO:0046979","TAP2 binding","5/296","18/28409",0.277777777777778,26.6600975975976,11.1742092675381,9.10163130506115e-07,0.000122189400270446,9.67647117695975e-05,"21355/21354/15039/110557/14964",5
"77","PL2-3 2DG vs PL2-3","PL2-3 2DG vs PL2-3","GO:0043495","protein-membrane adaptor activity","6/296","41/28409",0.146341463414634,14.0453197099539,8.57718712893712,4.02445769825592e-06,0.000389389333392341,0.000308366736627474,"65962/13823/30960/16653/12508/76559",6
"78","PL2-3 2DG vs PL2-3","PL2-3 2DG vs PL2-3","GO:0043395","heparan sulfate proteoglycan binding","5/296","25/28409",0.2,19.1952702702703,9.33908450319229,5.31625083036741e-06,0.000389389333392341,0.000308366736627474,"19280/12628/16409/18782/11603",5
